title,importance_significance,location,address,city,state,zip_code,geocode_location,latitude,longitude,geocode_status,subject,date_built_architect,date,date_first,date_first_range_year,date_altered,date_altered_range,date_destruction,is_date_approximate,architects,original_photo,photo_exists_2023Jun06,filename,rights,format,objectid,headline,exhibits
A. M. E. Book Concern,,Center City,631 Pine St.,Philadelphia,PA,19106,"631-33 Pine St, Philadelphia, PA, USA",39.944263,-75.152949,success,,,,,,,,,,,https://images.nypl.org/index.php?id=1225582&t=w,TRUE,https://images.nypl.org/index.php?id=1225582&t=w,New York Public Library,image/jpeg,dream_001,,
Benezet's School / Quaker African School House,School founded for free blacks since 1770 and admitted enslaved children too. benezet was one of the most influential anti-slavery writer and champion of black rights on both sides of the Atlantic.,Center City,Willings Alley,Philadelphia,PA,19106,"Willings Alley, Philadelphia, PA, USA",39.946420,-75.147316,success,school,,,,,,,,,,https://3.bp.blogspot.com/-NgI-bzgqzpw/UJ_Idk6d7nI/AAAAAAAAFHY/pjn7LXQ99dw/s400/Locust+lot.jpg,TRUE,https://3.bp.blogspot.com/-NgI-bzgqzpw/UJ_Idk6d7nI/AAAAAAAAFHY/pjn7LXQ99dw/s400/Locust+lot.jpg,,image/jpeg,dream_002,women,women
Benjamin Banneker Institute,,Center City,409 S. 11th St.,Philadelphia,PA,19147,"409-15 S 11th St, Philadelphia, PA, USA",39.944331,-75.159751,success,,,,,,,,,,,https://img.geocaching.com/waymarking/log/display/82f8fd54-d7ff-478f-835c-62a06c8598ec.jpg,TRUE,https://img.geocaching.com/waymarking/log/display/82f8fd54-d7ff-478f-835c-62a06c8598ec.jpg,,image/jpeg,dream_003,,
College Settlement / W. E. B. DuBois House,Program recognising African-Americans at UPenn initiated by Black undergraduates in 1972 as part of the ongoing Civil Rights movement.,Center City,617 Rodman St.,Philadelphia,PA,19147,"Rodman Street, Philadelphia, PA, USA",39.942377,-75.152482,success,settlement house,,,,,,,,,,,,,,none,dream_004,,
Colored Industrial School,,Center City,20th below Walnut St.,Philadelphia,PA,,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,school,,,,,,,,,,,,,,none,dream_005,women,women
Douglass Hotel (Billie Holiday Residence),,Center City,1409-1411 Lombard St.,Philadelphia,PA,19146,"1409-11 Lombard St, Philadelphia, PA, USA",39.944902,-75.165802,success,hotel,1926,1926,1926,,,,,FALSE,,https://www.preservationalliance.com/images/aia/1409-11LombardSt.jpg,FALSE,,Preservation Alliance for Greater Philadelphia,none,dream_006,,
Dunbar Theater / Lincoln Theater,,Center City,Broad and Lombard Streets.,Philadelphia,PA,19146,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,theater,,,,,,,,,,https://3wev1f3oz92s4a12494el03m-wpengine.netdna-ssl.com/wp-content/uploads/2017/03/Lincoln-Marquee-dettail-25412-0-B.jpg,FALSE,,,none,dream_007,,
Female Anti-Slavery Society,Predominantly white but racially mixed female abolitionist organization that grew oiut of the inability of women to participate on male abolitionist platforms. Ran between 1833 and 1870.,Center City,107 N. 5th St.,Philadelphia,PA,19106,"North 5th Street, Philadelphia, PA, USA",39.966843,-75.145813,doubt,,,,,,,,,,,https://hsp.org/sites/default/files/pas.jpg,TRUE,https://hsp.org/sites/default/files/pas.jpg,,image/jpeg,dream_008,women,women
First African Baptist Church Cemetery,"""Site of the cemetery that served this congregation from 1824 to 1842. Archaeological excavations in the 1980s provided links to ancient African burial customs. The remains were re-interred in Eden Cemetery, Delaware Co., Pa"" [From Historical Marker Database]",Center City,8th and Vine Sts.,Philadelphia,PA,19106,"Philadelphia, PA, USA",39.990821,-75.168428,doubt,cemetery,1796,1796,1796,,,,,FALSE,,,,,,none,dream_009,,
First African Baptist Church Site #2 / Cherry Street Baptist Church / Cherry Memorial Baptist Church,,Center City,1025-1027 Cherry St.,Philadelphia,PA,19107,"1025-27 Cherry St, Philadelphia, PA, USA",39.954799,-75.157045,success,church,,,,,,,,,,,,,,none,dream_010,,
